X,Date,Opponent,W.L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS,year,home_away,conf_nonconf,block.success,kills.per.set,blocks.per.set,blocking.error.rate,assists.per.set,bhe.rate,digs.per.set,sre.per.set,se.per.set,sa.per.set,yearless,yearless.date
77,2018-10-04,Gustavus Adolphus,W,3,45,17,118,0.237,41,5,5,1,53,3,4,1,5,0,55,2018,away,conference,1.25,15,1.66666666666667,0.333333333333333,13.6666666666667,0,17.6666666666667,0.333333333333333,1.66666666666667,1.66666666666667,04/10,2022-10-04
78,2018-10-06,vs Wisconsin-Superior,L,5,56,21,151,0.232,54,7,3,8,66,3,8,0,7,0,70,2018,away,non-conference,0.875,11.2,1.4,0,10.8,0,13.2,1.6,0.6,1.4,06/10,2022-10-06
79,2018-10-06,Bethany Lutheran,L,5,58,26,168,0.19,55,8,17,9,64,0,2,0,1,0,67,2018,away,non-conference,0.5,11.6,0.2,0,11,0,12.8,1.8,3.4,1.6,06/10,2022-10-06
80,2018-10-08,Crown,L,3,9,16,82,-0.085,9,0,3,8,32,0,4,0,2,2,11,2018,away,non-conference,0.5,3,0.666666666666667,0,3,0.222222222222222,10.6666666666667,2.66666666666667,1,0,08/10,2022-10-08
81,2018-10-10,St. Catherine,L,3,36,17,133,0.143,36,2,4,6,58,0,8,0,4,2,42,2018,away,conference,0.5,12,1.33333333333333,0,12,0.0555555555555556,19.3333333333333,2,1.33333333333333,0.666666666666667,10/10,2022-10-10
82,2018-10-13,vs Minnesota Morris,L,3,30,13,85,0.2,30,5,11,5,16,0,12,3,6,1,41,2018,away,non-conference,0.5,10,2,1,10,0.0333333333333333,5.33333333333333,1.66666666666667,3.66666666666667,1.66666666666667,13/10,2022-10-13
83,2018-10-13,St. Scholastica,L,3,30,12,96,0.188,30,2,8,5,34,2,0,0,2,1,34,2018,away,conference,Inf,10,0.666666666666667,0,10,0.0333333333333333,11.3333333333333,1.66666666666667,2.66666666666667,0.666666666666667,13/10,2022-10-13
84,2018-10-17,at Martin Luther,L,3,18,15,80,0.038,17,1,8,9,32,1,6,0,4,1,23,2018,home,non-conference,0.666666666666667,6,1.33333333333333,0,5.66666666666667,0.0588235294117647,10.6666666666667,3,2.66666666666667,0.333333333333333,17/10,2022-10-17
85,2018-10-19,at Saint Benedict,W,4,50,19,154,0.201,47,6,5,3,72,8,14,0,15,0,71,2018,home,conference,1.07142857142857,12.5,3.75,0,11.75,0,18,0.75,1.25,1.5,19/10,2022-10-19
86,2018-10-20,at Concordia,L,5,53,24,171,0.17,50,6,5,7,71,1,22,2,12,3,71,2018,home,conference,0.545454545454545,10.6,2.4,0.4,10,0.06,14.2,1.4,1,1.2,20/10,2022-10-20
87,2018-10-24,Saint Mary's,L,5,64,24,171,0.234,58,2,8,7,63,3,0,1,3,0,69,2018,away,non-conference,Inf,12.8,0.6,0.2,11.6,0,12.6,1.4,1.6,0.4,24/10,2022-10-24
88,2018-10-26,at Carleton College,L,4,42,23,125,0.152,40,3,8,4,52,1,6,0,4,2,49,2018,home,conference,0.666666666666667,10.5,1,0,10,0.05,13,1,2,0.75,26/10,2022-10-26
89,2018-10-30,St. Thomas,W,3,41,19,135,0.163,41,3,2,3,56,4,16,2,12,0,56,2018,away,non-conference,0.75,13.6666666666667,4,0.666666666666667,13.6666666666667,0,18.6666666666667,1,0.666666666666667,1,30/10,2022-10-30
90,2017-09-01,vs NORTH CENTRAL,L,3,10,13,58,-0.052,10,0,2,19,16,1,0,1,1,0,11,2017,away,non-conference,Inf,3.33333333333333,0.333333333333333,0.333333333333333,3.33333333333333,0,5.33333333333333,6.33333333333333,0.666666666666667,0,01/09,2022-09-01
91,2017-09-01,vs MARTIN LUTHER,L,3,17,19,89,-0.022,16,0,5,8,21,0,6,0,3,0,20,2017,away,non-conference,0.5,5.66666666666667,1,0,5.33333333333333,0,7,2.66666666666667,1.66666666666667,0,01/09,2022-09-01
92,2017-09-02,vs BETHANY LUTHERAN,L,3,20,19,93,0.011,17,0,6,4,30,1,6,0,4,0,24,2017,away,non-conference,0.666666666666667,6.66666666666667,1.33333333333333,0,5.66666666666667,0,10,1.33333333333333,2,0,02/09,2022-09-02
93,2017-09-02,vs CARROLL UNIVERSITY,L,3,27,23,98,0.041,26,4,6,5,38,2,4,1,4,0,35,2017,away,non-conference,1,9,1.33333333333333,0.333333333333333,8.66666666666667,0,12.6666666666667,1.66666666666667,2,1.33333333333333,02/09,2022-09-02
